funz-app       | [ INFO ] GET /health [request-id: FADA912A-D1B4-4D25-9A26-17C5D814295A]
funz-app       | [ INFO ] GET / [request-id: CFBEAB51-C0BE-441C-86B4-3607CBE6FED0]
funz-app       | [ INFO ] POST /auth/refresh [request-id: 660BFE33-83F4-4530-9EFC-D9614007AE13]
funz-app       | [ INFO ] Token refreshed [user_id: D511084D-8F48-4A84-AC05-C8E8C0474ADC]
funz-app       | [ INFO ] GET /user/profile [request-id: 6970968F-9A4A-4184-A2B5-ADD25ECC0653]
funz-app       | [ INFO ] GET /user/pois [request-id: 2192D58C-F964-4479-BDCA-7EC81EDBB704]
funz-app       | [ INFO ] GET /map/dates [request-id: 4F1C3539-12CB-414F-8DF0-05A2ADD13F59]
funz-app       | [ INFO ] GET /map/forecast-dates [request-id: 59B109B3-6C79-4D93-B060-8EB4006EA7E6]
funz-app       | [ INFO ] GET /map/tiles/2026-04-08/9/271/183 [request-id: A65CB395-3996-4F7D-834B-3FA789396848]
funz-app       | [ WARNING ] Abort.404: Tile not found [method: GET, request-id: A65CB395-3996-4F7D-834B-3FA789396848, url: /map/tiles/2026-04-08/9/271/183?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NzU2ODE3NzMuNjU2ODU0MiwiaXNzIjoiZnVuZ2hpLW1hcCIsInN1YiI6IkQ1MTEwODRELThGNDgtNEE4NC1BQzA1LUM4RThDMDQ3NEFEQyIsImV4cCI6MTc3NTY4MjY3My42NTY4NTQyLCJlbWFpbCI6InNnYXJ1OTZAZ21haWwuY29tIn0.fdwpGXaX0E--x-hOMEUmETvbfBwqz0qj5J13Ue-8jy5m_dFybpbyt3IWiUbJxnt7WlduZRnN5JMWauCE8bECMyDx_roJg_vgz_dCL0k6RQyW0wKXFHAMgpmyvI50QddpIXJB0jKdTkeWFwuOnOopAsx9K78uOWf8TYR7JWXsGDOsAvTukekPLM6M0gfeUbZ8ZuaJhl63HRpHJbHjtEcgyldcONXvb4A4abjPTMmSrwIsGmbCzuNvp7kbDH3QW4q50Wgd4oeTEtVi6ZXBaM3qn0gRf7q_mHKE8LQDdj7G0oqP4v_ejBgkb00DtAHqRUUCzkdJAzGZ7nbgJ6Uv8CBP3w, userAgent: [Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148]]
funz-app       | [ INFO ] GET /map/tiles/2026-04-08/8/135/91 [request-id: F5F98B6F-A6D3-41AD-ABC3-E1DDB9C0BF4E]
funz-app       | [ WARNING ] Abort.404: Tile not found [method: GET, request-id: F5F98B6F-A6D3-41AD-ABC3-E1DDB9C0BF4E, url: /map/tiles/2026-04-08/8/135/91?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NzU2ODE3NzMuNjU2ODU0MiwiaXNzIjoiZnVuZ2hpLW1hcCIsInN1YiI6IkQ1MTEwODRELThGNDgtNEE4NC1BQzA1LUM4RThDMDQ3NEFEQyIsImV4cCI6MTc3NTY4MjY3My42NTY4NTQyLCJlbWFpbCI6InNnYXJ1OTZAZ21haWwuY29tIn0.fdwpGXaX0E--x-hOMEUmETvbfBwqz0qj5J13Ue-8jy5m_dFybpbyt3IWiUbJxnt7WlduZRnN5JMWauCE8bECMyDx_roJg_vgz_dCL0k6RQyW0wKXFHAMgpmyvI50QddpIXJB0jKdTkeWFwuOnOopAsx9K78uOWf8TYR7JWXsGDOsAvTukekPLM6M0gfeUbZ8ZuaJhl63HRpHJbHjtEcgyldcONXvb4A4abjPTMmSrwIsGmbCzuNvp7kbDH3QW4q50Wgd4oeTEtVi6ZXBaM3qn0gRf7q_mHKE8LQDdj7G0oqP4v_ejBgkb00DtAHqRUUCzkdJAzGZ7nbgJ6Uv8CBP3w, userAgent: [Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148]]
funz-app       | [ INFO ] GET /map/tiles/2026-04-08/7/67/45 [request-id: 7261C338-B9F0-43B1-AD4C-3CEE9CA49144]
funz-app       | [ WARNING ] Abort.404: Tile not found [method: GET, request-id: 7261C338-B9F0-43B1-AD4C-3CEE9CA49144, url: /map/tiles/2026-04-08/7/67/45?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJpYXQiOjE3NzU2ODE3NzMuNjU2ODU0MiwiaXNzIjoiZnVuZ2hpLW1hcCIsInN1YiI6IkQ1MTEwODRELThGNDgtNEE4NC1BQzA1LUM4RThDMDQ3NEFEQyIsImV4cCI6MTc3NTY4MjY3My42NTY4NTQyLCJlbWFpbCI6InNnYXJ1OTZAZ21haWwuY29tIn0.fdwpGXaX0E--x-hOMEUmETvbfBwqz0qj5J13Ue-8jy5m_dFybpbyt3IWiUbJxnt7WlduZRnN5JMWauCE8bECMyDx_roJg_vgz_dCL0k6RQyW0wKXFHAMgpmyvI50QddpIXJB0jKdTkeWFwuOnOopAsx9K78uOWf8TYR7JWXsGDOsAvTukekPLM6M0gfeUbZ8ZuaJhl63HRpHJbHjtEcgyldcONXvb4A4abjPTMmSrwIsGmbCzuNvp7kbDH3QW4q50Wgd4oeTEtVi6ZXBaM3qn0gRf7q_mHKE8LQDdj7G0oqP4v_ejBgkb00DtAHqRUUCzkdJAzGZ7nbgJ6Uv8CBP3w, userAgent: [Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148]]
funz-app       | [ INFO ] GET /map/tiles/2026-04-08/6/33/22 [request-id: 4BEBB251-DDF0-449A-A070-59EA1D29931E]
